id,name,year,api_pitch_group,team_name,bat_side_formatted,miss_distance,flawed_percent,perfect_percent,tied_up_percent,avg_x_tied_up,centered_percent,flailed_percent,avg_x_flail,early_percent,avg_y_early,on_time_percent,late_percent,avg_y_late,n_swings,whiff_rate,competitive_percent,over_percent,avg_z_over,lined_up_percent,under_percent,avg_z_under,window_start,window_end,window_num
673962,Josh Jung,2023,FF,Rangers,R,1.330799496,0,0.14285714285714285,0,,0.8571428571428571,0.14285714285714285,5.908931862626368,0.14285714285714285,8.917186444967122,0.7142857142857143,0.14285714285714285,-12.08421135029058,7,0.14285714285714285,1,0,,0.8571428571428571,0.14285714285714285,4.419305348759453,2023-07-01,2023-07-14,14
606192,Teoscar Hernández,2023,FF,Mariners,R,0.507929532,0,0.14285714285714285,0.2857142857142857,-5.268803612379246,0.5714285714285714,0.14285714285714285,4.2582476149246915,0,,0.7142857142857143,0.2857142857142857,-10.799908003916869,7,0.2857142857142857,1,0.2857142857142857,-2.209061823421145,0.2857142857142857,0.42857142857142855,3.1770690193682762,2023-07-01,2023-07-14,14
665489,Vladimir Guerrero Jr.,2023,FF,Blue Jays,R,,0,0.14285714285714285,0,,1,0,,0,,0.7142857142857143,0.2857142857142857,-7.951287144435266,7,0,0.8571428571428571,0.14285714285714285,-2.22600173492289,0.2857142857142857,0.5714285714285714,2.697503080199526,2023-07-01,2023-07-14,14
605204,J.D. Davis,2023,FF,Giants,R,3.163909026,0.14285714285714285,0,0.42857142857142855,-8.252092849318595,0.2857142857142857,0.2857142857142857,5.0805753304038195,0,,0.5714285714285714,0.42857142857142855,-9.76587128045741,7,0.2857142857142857,0.7142857142857143,0.2857142857142857,-5.164398456247799,0.5714285714285714,0.14285714285714285,3.256729743279687,2023-07-01,2023-07-14,14
518792,Jason Heyward,2023,CU,Dodgers,L,9.542032314,0.14285714285714285,0.14285714285714285,0.14285714285714285,-14.759363685972417,0.42857142857142855,0.42857142857142855,8.064650544933132,0.42857142857142855,13.17818249694844,0.5714285714285714,0,,7,0.2857142857142857,0.8571428571428571,0.2857142857142857,-8.390488238362986,0.42857142857142855,0.2857142857142857,2.201263934735501,2023-07-01,2023-07-14,14
666135,Alex Kirilloff,2023,FF,Twins,L,2.033644902,0.14285714285714285,0.14285714285714285,0.42857142857142855,-8.715603338969265,0.42857142857142855,0.14285714285714285,10.555200076046848,0,,0.7142857142857143,0.2857142857142857,-12.72247302565215,7,0.2857142857142857,0.8571428571428571,0,,0.7142857142857143,0.2857142857142857,5.301443330563622,2023-07-01,2023-07-14,14
666969,Adolis García,2023,FF,Rangers,R,,0.14285714285714285,0.2857142857142857,0.14285714285714285,-5.612800890983021,0.42857142857142855,0.42857142857142855,6.032100454995432,0.2857142857142857,9.582021160649889,0.42857142857142855,0.2857142857142857,-11.564913903363504,7,0.14285714285714285,1,0.2857142857142857,-2.4563827802159572,0.5714285714285714,0.14285714285714285,2.06550984931433,2023-07-01,2023-07-14,14
669127,Shea Langeliers,2023,FF,Athletics,R,0.712764492,0,0.2857142857142857,0.14285714285714285,-5.7618431915161175,0.5714285714285714,0.2857142857142857,5.637587026551273,0,,0.8571428571428571,0.14285714285714285,-7.609793049244403,7,0.14285714285714285,0.7142857142857143,0,,0.42857142857142855,0.5714285714285714,3.060343157952497,2023-07-01,2023-07-14,14
687263,Zach Neto,2023,FF,Angels,R,0.8269239,0.14285714285714285,0.14285714285714285,0,,0.5714285714285714,0.42857142857142855,5.4816000721470735,0.14285714285714285,7.1772922593488255,0.5714285714285714,0.2857142857142857,-12.454921772708921,7,0.14285714285714285,1,0,,0.42857142857142855,0.5714285714285714,2.573131493772694,2023-07-01,2023-07-14,14
661388,William Contreras,2023,FF,Brewers,R,,0,0.16666666666666666,0,,0.3333333333333333,0.6666666666666666,6.545808527065712,0.3333333333333333,7.7167411106833,0.6666666666666666,0,,6,0.16666666666666666,1,0,,1,0,,2023-07-01,2023-07-14,14
